route_id,src,dst,sp_dist_m,sp_time_s,sp_emis_g,fp_dist_m,fp_time_s,fp_emis_g,ca_dist_m,ca_time_s,ca_emis_g
86,1339408095,6197065811,243.13391940134474,35.01128439379364,49.492948468136234,243.13391940134474,35.01128439379364,49.492948468136234,243.13391940134474,35.01128439379364,49.492948468136234
87,1328155440,1563316282,1870.8798705469228,179.03348108244074,356.6002500845085,1870.8798705469228,179.03348108244074,356.6002500845085,1870.8798705469228,179.03348108244074,356.6002500845085
88,3370175098,3352035440,214.9479334053098,19.345314006477885,40.41021148019824,214.9479334053098,19.345314006477885,40.41021148019824,214.9479334053098,19.345314006477885,40.41021148019824
89,3530536231,5251934695,280.31053773997616,40.36471743455657,57.0607138386939,280.31053773997616,40.36471743455657,57.0607138386939,280.31053773997616,40.36471743455657,57.0607138386939
90,3726150980,448306395,1013.0644273957711,71.42189576392289,187.99489133659438,1013.0644273957711,71.42189576392289,187.99489133659438,1013.0644273957711,71.42189576392289,187.99489133659438
91,421265109,1842455528,1311.9567534824441,173.29569531422447,262.7237757970844,1830.9897022863224,162.40826456429033,345.8886651015586,1312.752154307836,169.6200798122619,261.8604617855264
92,421264365,11012314120,754.7739788335706,109.28836905880212,153.93041864816766,754.7739788335706,109.28836905880212,153.93041864816766,754.7739788335706,109.28836905880212,153.93041864816766
93,6485070845,1462139757,1416.339834005268,195.67221910435552,285.92722082647015,1416.339834005268,195.67221910435552,285.92722082647015,1416.339834005268,195.67221910435552,285.92722082647015
94,11012314120,1339408165,764.7262663352107,113.39110742363299,156.7256976451555,764.7262663352107,113.39110742363299,156.7256976451555,764.7262663352107,113.39110742363299,156.7256976451555
95,286682015,423744834,366.2265483669262,51.47225427376186,74.18560771944495,366.2265483669262,51.47225427376186,74.18560771944495,366.2265483669262,51.47225427376186,74.18560771944495
96,12692472177,421265107,961.717328729724,116.52815103538359,190.0978012918601,1069.574583789504,79.63628792105182,198.30911764909283,1069.574583789504,79.63628792105182,198.30911764909283
97,1462139757,421265112,333.1369960905502,39.69101044463622,65.42774313345537,338.080069775764,29.85516742007979,63.7580304762655,338.080069775764,29.85516742007979,63.7580304762655
98,421264372,1842455520,1119.5922936883962,159.9432924367966,227.75527803591362,1259.1509842208466,135.6426014186271,244.34776500334223,1123.12318377039,145.69613087913555,224.07317488457082
99,423744834,5251934694,745.0257480408044,107.28370771787583,151.65930383555627,839.0194145832061,102.87717162619059,165.97182455501678,745.0257480408044,107.28370771787583,151.65930383555627
100,1462139766,1500742635,1334.8262615015558,184.69937515421006,269.55461481639946,1853.0638094800422,177.48755990623846,353.58281813243167,1334.8262615015558,184.69937515421006,269.55461481639946
101,4333461584,1339408101,2212.059345077652,297.03036192104,444.37690579515703,2222.4694198841657,270.68999041064427,439.1136028583459,2222.4694198841657,270.68999041064427,439.1136028583459
102,6197065811,448306751,1016.1242105064084,146.32188631292283,206.84478460121082,1016.1242105064084,146.32188631292283,206.84478460121082,1017.5802795685485,146.531560257871,207.14118565967266
103,9351941623,10182013933,1550.119831387918,178.44256784190108,305.62901521525885,1859.9388862070753,170.63320389291962,354.9521804360099,1550.119831387918,178.44256784190108,305.62901521525885
104,4202336813,1500356591,667.9132358635479,96.17950596435087,135.96208807547347,667.9132358635479,96.17950596435087,135.96208807547347,667.9132358635479,96.17950596435087,135.96208807547347
105,4202336813,3384284847,2562.441489345498,230.8298346361549,485.4038012654907,2621.1216550623244,221.6586537159121,492.6223828828237,2567.5037118356126,228.09512773920224,485.5052234354067
106,1317176280,423744894,1130.2182654099715,128.52201214291756,220.70388092429974,1152.432863891224,121.53569885760925,222.2906176146935,1152.432863891224,121.53569885760925,222.2906176146935
107,423744895,3530536227,1301.113856673349,165.69331800597618,258.8961961745573,1301.9092574987408,162.01770250401364,258.03288216299933,1301.9092574987408,162.01770250401364,258.03288216299933
108,2268586300,3530536223,1815.702529405576,237.20069280093642,362.8997511019381,2120.2661851773196,209.01132644744388,406.320888885311,1816.4979302309678,233.52507729897386,362.03643709038005
109,3384284888,4202330456,1778.118517579224,162.3056108418855,338.6586378233914,1778.3223162471495,141.99309512524283,333.5610362981911,1778.3223162471495,141.99309512524283,333.5610362981911
110,421265108,3370456520,965.0535135101283,130.3276037397886,193.95867638879923,1426.495600610156,110.94220673345568,265.27410669446624,987.268111991381,123.34129045448029,195.545413079193
